DATAFLOW,LAST UPDATE,freq,nrg_prc,nrg_cons,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2017,0.0439,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2018,0.0454,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2019,0.0459,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2022,0.0506,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2023,0.0589,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2024,0.0623,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2017,0.0561,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2018,0.0588,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2019,0.0623,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2022,0.0530,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2023,0.0492,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2024,0.0520,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2017,0.0557,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2018,0.0541,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2019,0.0524,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2022,0.0577,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2023,0.0679,,
