country,iso3,dc_facility_count,dc_facility_count_log,dc_rank
Germany,DEU,514.0,6.244166900663736,1
France,FRA,345.0,5.846438775057725,2
Canada,CAN,287.0,5.662960480135946,3
Australia,AUS,272.0,5.60947179518496,4
Japan,JPN,257.0,5.552959584921617,5
Italy,ITA,219.0,5.393627546352362,6
Spain,ESP,195.0,5.278114659230517,7
Ireland,IRL,127.0,4.852030263919617,8
Finland,FIN,117.0,4.770684624465665,9
Sweden,SWE,110.0,4.709530201312334,10
Poland,POL,100.0,4.61512051684126,11
Norway,NOR,96.0,4.574710978503383,12
South Korea,KOR,91.0,4.5217885770490405,13
Denmark,DNK,83.0,4.430816798843313,14
Singapore,SGP,66.0,4.204692619390966,15
New Zealand,NZL,60.0,4.110873864173311,16
Austria,AUT,53.0,3.9889840465642745,17
Belgium,BEL,48.0,3.8918202981106265,18
Netherlands,NLD,,,19
United States,USA,,,20
