country,mean_rank,sd_rank,pr_top3,pr_top5,pr_top10
Norway,2.2176,0.991639337086514,0.883,0.9958,1.0
Canada,2.4831,1.950255044724616,0.7691,0.8778,1.0
Finland,4.4077,1.5917707383315307,0.342,0.8005,0.9934
New Zealand,5.2465,3.5399704644373746,0.388,0.6357,0.8932
South Korea,7.8438,4.419021875419115,0.1889,0.3964,0.7165
Denmark,8.5216,5.7428940024305515,0.2465,0.3641,0.6365
Austria,7.8831,3.759979805107153,0.0674,0.3078,0.7587
Sweden,6.8238,2.1334499574332972,0.0039,0.2821,0.923
Singapore,12.3787,6.395058716509062,0.111,0.1948,0.3851
United States,9.769,3.3850236097378956,0.0,0.1184,0.5691
Ireland,13.4428,3.8359613684135616,0.0,0.0178,0.2685
Belgium,12.4919,3.5700992914617085,0.0002,0.0063,0.3723
France,13.1903,3.5213528511908976,0.0,0.0021,0.2656
Poland,13.3343,3.874744491510067,0.0,0.0004,0.2938
Netherlands,10.701,2.180338136032781,0.0,0.0,0.5128
Japan,12.7741,3.056174604030563,0.0,0.0,0.2921
Germany,15.6864,2.8989127978504357,0.0,0.0,0.0228
Australia,15.7279,3.124201922694155,0.0,0.0,0.0556
Spain,16.229,3.005472057136508,0.0,0.0,0.041
Italy,18.8474,1.622768183585661,0.0,0.0,0.0
